target_fid,n_images,batch_size,scenario,strategy,config,predicted_fid,per_image_ms,training_cost_ms,total_wall_ms
2.5,100,1,"Interactive demo, high quality, small N",Heun (no tuning),Heun 18-step,1.9598,243.786,0.0,24378.6
2.5,1000,1,"Interactive demo, high quality, medium N",Heun (no tuning),Heun 18-step,1.9598,243.786,0.0,243786.0
2.5,10000,1,"Bulk generation, high quality, medium N",Heun (no tuning),Heun 18-step,1.9598,243.786,0.0,2437860.0
2.5,100000,1,"Bulk generation, high quality, large N",ECT (with tuning),ECT 1-step @ 1980 kimg tuning,2.460386203647435,7.0462,5346000.0,6050620.0
2.5,100000,64,"Bulk generation, high quality, batched",Heun (no tuning),Heun 18-step,1.9598,20.0468,0.0,2004680.0
2.0,100000,1,"Peak quality, large N (only Heun 18+ meets this)",Heun (no tuning),Heun 18-step,1.9598,243.786,0.0,24378600.0
2.0,1000000,64,"Peak quality, very large N, batched",Heun (no tuning),Heun 18-step,1.9598,20.0468,0.0,20046800.0
5.0,100,1,"Relaxed quality, small N",Heun (no tuning),Heun 10-step,2.63703,131.7489,0.0,13174.89
5.0,10000,1,"Relaxed quality, medium N",Heun (no tuning),Heun 10-step,2.63703,131.7489,0.0,1317489.0
10.0,10000,1,"Low-stakes quality, medium N",Heun (no tuning),Heun 10-step,2.63703,131.7489,0.0,1317489.0
